badwords,isbad,,,,,,,,,
ㅅㅂㄹㅁ,1,,,,,,,,,
ㅆㅂㄹㅁ,1,,,,,,,,,
ㅆㅍ,1,,,,,,,,,
ㅆ앙,1,,,,,,,,,
凸,1,,,,,,,,,
갈보,1,,,,,,,,,
갈보년,1,,,,,,,,,
같은년 ,1,,,,,,,,,
같은뇬,1,,,,,,,,,
색스,1,,,,,,,,,
개같은,1,,,,,,,,,
개구라,1,,,,,,,,,
개년,1,,,,,,,,,
개놈,1,,,,,,,,,
개뇬,1,,,,,,,,,
개대중,1,,,,,,,,,
개독,1,,,,,,,,,
개돼중,1,,,,,,,,,
개랄,1,,,,,,,,,
개보지,1,,,,,,,,,
개뻥,1,,,,,,,,,
개뿔,1,,,,,,,,,
개새,1,,,,,,,,,
개새기,1,,,,,,,,,
개새끼,1,,,,,,,,,
개새키,1,,,,,,,,,
개색기,1,,,,,,,,,
개색끼,1,,,,,,,,,
개색키,1,,,,,,,,,
개색히,1,,,,,,,,,
개섀끼,1,,,,,,,,,
개세,1,,,,,,,,,
개세끼,1,,,,,,,,,
개세이,1,,,,,,,,,
개소리,1,,,,,,,,,
개쑈,1,,,,,,,,,
개쇳기,1,,,,,,,,,
개수작,1,,,,,,,,,
개쉐,1,,,,,,,,,
개쉐리,1,,,,,,,,,
개쉐이,1,,,,,,,,,
개쉑,1,,,,,,,,,
개쉽,1,,,,,,,,,
개스끼,1,,,,,,,,,
개시키,1,,,,,,,,,
개십새기,1,,,,,,,,,
개십새끼,1,,,,,,,,,
개씹,1,,,,,,,,,
개아들,1,,,,,,,,,
개자슥,1,,,,,,,,,
개자지,1,,,,,,,,,
개접,1,,,,,,,,,
개좆,1,,,,,,,,,
개좌식,1,,,,,,,,,
개허접,1,,,,,,,,,
걔새,1,,,,,,,,,
걔수작,1,,,,,,,,,
걔시끼,1,,,,,,,,,
걔시키,1,,,,,,,,,
게색기,1,,,,,,,,,
게색끼,1,,,,,,,,,
광뇬,1,,,,,,,,,
구라,1,,,,,,,,,
그년,1,,,,,,,,,
그새끼,1,,,,,,,,,
놈현,1,,,,,,,,,
뇬,1,,,,,,,,,
눈깔,1,,,,,,,,,
뉘미럴,1,,,,,,,,,
니귀미,1,,,,,,,,,
니기미,1,,,,,,,,,
니미,1,,,,,,,,,
니미랄,1,,,,,,,,,
니미럴,1,,,,,,,,,
니미씹,1,,,,,,,,,
니아배,1,,,,,,,,,
니아베,1,,,,,,,,,
니아비,1,,,,,,,,,
니어매,1,,,,,,,,,
니어메,1,,,,,,,,,
니어미,1,,,,,,,,,
닝기리,1,,,,,,,,,
닝기미,1,,,,,,,,,
대가리,1,,,,,,,,,
뎡신,1,,,,,,,,,
도라이,1,,,,,,,,,
돈놈,1,,,,,,,,,
돌아이,1,,,,,,,,,
돌은놈,1,,,,,,,,,
되질래,1,,,,,,,,,
뒈져,1,,,,,,,,,
뒈져라,1,,,,,,,,,
뒈진,1,,,,,,,,,
뒈진다,1,,,,,,,,,
뒈질,1,,,,,,,,,
뒤질래,1,,,,,,,,,
등신,1,,,,,,,,,
디져라,1,,,,,,,,,
디진다,1,,,,,,,,,
디질래,1,,,,,,,,,
딩시,1,,,,,,,,,
따식,1,,,,,,,,,
때놈,1,,,,,,,,,
또라이,1,,,,,,,,,
똘아이,1,,,,,,,,,
똘아이,1,,,,,,,,,
뙈놈,1,,,,,,,,,
뙤놈,1,,,,,,,,,
뙨넘,1,,,,,,,,,
뙨놈,1,,,,,,,,,
뚜쟁,1,,,,,,,,,
띠바,1,,,,,,,,,
띠발,1,,,,,,,,,
띠불,1,,,,,,,,,
띠팔,1,,,,,,,,,
메친넘,1,,,,,,,,,
메친놈,1,,,,,,,,,
미췬,1,,,,,,,,,
미췬,1,,,,,,,,,
미친,1,,,,,,,,,
미친넘,1,,,,,,,,,
미친년,1,,,,,,,,,
미친놈,1,,,,,,,,,
미친새끼,1,,,,,,,,,
미친스까이,1,,,,,,,,,
미틴,1,,,,,,,,,
미틴넘,1,,,,,,,,,
미틴년,1,,,,,,,,,
미틴놈,1,,,,,,,,,
바랄년,1,,,,,,,,,
병자,1,,,,,,,,,
뱅마,1,,,,,,,,,
뱅신,1,,,,,,,,,
벼엉신,1,,,,,,,,,
병쉰,1,,,,,,,,,
병신,1,,,,,,,,,
부랄,1,,,,,,,,,
부럴,1,,,,,,,,,
불알,1,,,,,,,,,
불할,1,,,,,,,,,
붕가,1,,,,,,,,,
붙어먹,1,,,,,,,,,
뷰웅,1,,,,,,,,,
븅,1,,,,,,,,,
븅신,1,,,,,,,,,
빌어먹,1,,,,,,,,,
빙시,1,,,,,,,,,
빙신,1,,,,,,,,,
빠가,1,,,,,,,,,
빠구리,1,,,,,,,,,
빠굴,1,,,,,,,,,
빠큐,1,,,,,,,,,
뻐큐,1,,,,,,,,,
뻑큐,1,,,,,,,,,
뽁큐,1,,,,,,,,,
상넘이,1,,,,,,,,,
상놈을,1,,,,,,,,,
상놈의,1,,,,,,,,,
상놈이,1,,,,,,,,,
새갸,1,,,,,,,,,
새꺄,1,,,,,,,,,
새끼,1,,,,,,,,,
새새끼,1,,,,,,,,,
새키,1,,,,,,,,,
색끼,1,,,,,,,,,
생쑈,1,,,,,,,,,
세갸,1,,,,,,,,,
세꺄,1,,,,,,,,,
세끼,1,,,,,,,,,
섹스,1,,,,,,,,,
쇼하네,1,,,,,,,,,
쉐,1,,,,,,,,,
쉐기,1,,,,,,,,,
쉐끼,1,,,,,,,,,
쉐리,1,,,,,,,,,
쉐에기,1,,,,,,,,,
쉐키,1,,,,,,,,,
쉑,1,,,,,,,,,
쉬발,1,,,,,,,,,
쉬밸,1,,,,,,,,,
쉬벌,1,,,,,,,,,
쉬뻘,1,,,,,,,,,
쉬펄,1,,,,,,,,,
쉽알,1,,,,,,,,,
스패킹,1,,,,,,,,,
스팽,1,,,,,,,,,
시궁창,1,,,,,,,,,
시끼,1,,,,,,,,,
시댕,1,,,,,,,,,
시뎅,1,,,,,,,,,
시랄,1,,,,,,,,,
시발,1,,,,,,,,,
시벌,1,,,,,,,,,
시부랄,1,,,,,,,,,
시부럴,1,,,,,,,,,
시부리,1,,,,,,,,,
시불,1,,,,,,,,,
시브랄,1,,,,,,,,,
시팍,1,,,,,,,,,
시팔,1,,,,,,,,,
시펄,1,,,,,,,,,
신발끈,1,,,,,,,,,
심발끈,1,,,,,,,,,
심탱,1,,,,,,,,,
십8,1,,,,,,,,,
십라,1,,,,,,,,,
십새,1,,,,,,,,,
십새끼,1,,,,,,,,,
십세,1,,,,,,,,,
십쉐,1,,,,,,,,,
십쉐이,1,,,,,,,,,
십스키,1,,,,,,,,,
십쌔,1,,,,,,,,,
십창,1,,,,,,,,,
십탱,1,,,,,,,,,
싶알,1,,,,,,,,,
싸가지,1,,,,,,,,,
싹아지,1,,,,,,,,,
쌉년,1,,,,,,,,,
쌍넘,1,,,,,,,,,
쌍년,1,,,,,,,,,
쌍놈,1,,,,,,,,,
쌍뇬,1,,,,,,,,,
쌔끼,1,,,,,,,,,
쌕,1,,,,,,,,,
쌩쑈,1,,,,,,,,,
썅,1,,,,,,,,,
썅년,1,,,,,,,,,
썅놈,1,,,,,,,,,
써벌,1,,,,,,,,,
썩을년,1,,,,,,,,,
썩을놈,1,,,,,,,,,
쎄꺄,1,,,,,,,,,
쎄엑,1,,,,,,,,,
쒸벌,1,,,,,,,,,
쒸뻘,1,,,,,,,,,
쒸팔,1,,,,,,,,,
쒸펄,1,,,,,,,,,
쓰바,1,,,,,,,,,
쓰박,1,,,,,,,,,
쓰발,1,,,,,,,,,
쓰벌,1,,,,,,,,,
쓰팔,1,,,,,,,,,
씁새,1,,,,,,,,,
씁얼,1,,,,,,,,,
씌파,1,,,,,,,,,
씨8,1,,,,,,,,,
씨끼,1,,,,,,,,,
씨댕,1,,,,,,,,,
씨뎅,1,,,,,,,,,
씨바,1,,,,,,,,,
씨바랄,1,,,,,,,,,
씨박,1,,,,,,,,,
씨발,1,,,,,,,,,
씨방,1,,,,,,,,,
씨방새,1,,,,,,,,,
씨방세,1,,,,,,,,,
씨밸,1,,,,,,,,,
씨뱅,1,,,,,,,,,
씨벌,1,,,,,,,,,
씨벨,1,,,,,,,,,
씨봉,1,,,,,,,,,
씨봉알,1,,,,,,,,,
씨부랄,1,,,,,,,,,
씨부럴,1,,,,,,,,,
씨부렁,1,,,,,,,,,
씨부리,1,,,,,,,,,
씨불,1,,,,,,,,,
씨붕,1,,,,,,,,,
씨브랄,1,,,,,,,,,
씨빠,1,,,,,,,,,
씨빨,1,,,,,,,,,
씨뽀랄,1,,,,,,,,,
씨앙,1,,,,,,,,,
씨파,1,,,,,,,,,
씨팍,1,,,,,,,,,
씨팔,1,,,,,,,,,
씨펄,1,,,,,,,,,
씸년,1,,,,,,,,,
씸뇬,1,,,,,,,,,
씸새끼,1,,,,,,,,,
씹같,1,,,,,,,,,
씹년,1,,,,,,,,,
씹뇬,1,,,,,,,,,
씹보지,1,,,,,,,,,
씹새,1,,,,,,,,,
씹새기,1,,,,,,,,,
씹새끼,1,,,,,,,,,
씹새리,1,,,,,,,,,
씹세,1,,,,,,,,,
씹쉐,1,,,,,,,,,
씹스키,1,,,,,,,,,
씹쌔,1,,,,,,,,,
씹이,1,,,,,,,,,
씹자지,1,,,,,,,,,
씹질,1,,,,,,,,,
씹창,1,,,,,,,,,
씹탱,1,,,,,,,,,
씹팔,1,,,,,,,,,
씹할,1,,,,,,,,,
씹헐,1,,,,,,,,,
아가리,1,,,,,,,,,
아갈,1,,,,,,,,,
아갈이,1,,,,,,,,,
아갈통,1,,,,,,,,,
아구창,1,,,,,,,,,
아구통,1,,,,,,,,,
아굴,1,,,,,,,,,
얌마,1,,,,,,,,,
양넘,1,,,,,,,,,
양년,1,,,,,,,,,
양놈,1,,,,,,,,,
엄창,1,,,,,,,,,
엠병,1,,,,,,,,,
여물통,1,,,,,,,,,
염병,1,,,,,,,,,
엿같,1,,,,,,,,,
옘병,1,,,,,,,,,
옘빙,1,,,,,,,,,
오입,1,,,,,,,,,
왜년,1,,,,,,,,,
왜놈,1,,,,,,,,,
욤병,1,,,,,,,,,
육갑,1,,,,,,,,,
은년,1,,,,,,,,,
을년,1,,,,,,,,,
이년,1,,,,,,,,,
이새끼,1,,,,,,,,,
이새키,1,,,,,,,,,
이스끼,1,,,,,,,,,
이스키,1,,,,,,,,,
임마,1,,,,,,,,,
자슥,1,,,,,,,,,
잡것,1,,,,,,,,,
잡넘,1,,,,,,,,,
잡년,1,,,,,,,,,
잡놈,1,,,,,,,,,
저년,1,,,,,,,,,
저새끼,1,,,,,,,,,
접년,1,,,,,,,,,
젖밥,1,,,,,,,,,
조까,1,,,,,,,,,
조까치,1,,,,,,,,,
조낸,1,,,,,,,,,
조또,1,,,,,,,,,
조랭,1,,,,,,,,,
조빠,1,,,,,,,,,
조쟁이,1,,,,,,,,,
조지냐,1,,,,,,,,,
조진다,1,,,,,,,,,
조찐,1,,,,,,,,,
조질래,1,,,,,,,,,
존나,1,,,,,,,,,
존나게,1,,,,,,,,,
존니,1,,,,,,,,,
존만,1,,,,,,,,,
존만한,1,,,,,,,,,
좀물,1,,,,,,,,,
좁년,1,,,,,,,,,
좆,1,,,,,,,,,
좁밥,1,,,,,,,,,
좃까,1,,,,,,,,,
좃또,1,,,,,,,,,
좃만,1,,,,,,,,,
좃밥,1,,,,,,,,,
좃이,1,,,,,,,,,
좃찐,1,,,,,,,,,
좆같,1,,,,,,,,,
좆까,1,,,,,,,,,
좆나,1,,,,,,,,,
좆또,1,,,,,,,,,
좆만,1,,,,,,,,,
좆밥,1,,,,,,,,,
좆이,1,,,,,,,,,
좆찐,1,,,,,,,,,
좇같,1,,,,,,,,,
좇이,1,,,,,,,,,
좌식,1,,,,,,,,,
주글,1,,,,,,,,,
주글래,1,,,,,,,,,
주데이,1,,,,,,,,,
주뎅,1,,,,,,,,,
주뎅이,1,,,,,,,,,
주둥아리,1,,,,,,,,,
주둥이,1,,,,,,,,,
주접,1,,,,,,,,,
주접떨,1,,,,,,,,,
죽고잡,1,,,,,,,,,
죽을래,1,,,,,,,,,
죽통,1,,,,,,,,,
쥐랄,1,,,,,,,,,
쥐롤,1,,,,,,,,,
쥬디,1,,,,,,,,,
지랄,1,,,,,,,,,
지럴,1,,,,,,,,,
지롤,1,,,,,,,,,
지미랄,1,,,,,,,,,
짜식,1,,,,,,,,,
짜아식,1,,,,,,,,,
쪼다,1,,,,,,,,,
쫍빱,1,,,,,,,,,
찌랄,1,,,,,,,,,
창녀,1,,,,,,,,,
캐년,1,,,,,,,,,
캐놈,1,,,,,,,,,
캐스끼,1,,,,,,,,,
캐스키,1,,,,,,,,,
캐시키,1,,,,,,,,,
탱구,1,,,,,,,,,
팔럼,1,,,,,,,,,
퍽큐,1,,,,,,,,,
호로,1,,,,,,,,,
호로놈,1,,,,,,,,,
호로새끼,1,,,,,,,,,
호로색,1,,,,,,,,,
호로쉑,1,,,,,,,,,
호로스까이,1,,,,,,,,,
호로스키,1,,,,,,,,,
후라들,1,,,,,,,,,
후래자식,1,,,,,,,,,
후레,1,,,,,,,,,
후뢰,1,,,,,,,,,
씨ㅋ발,1,,,,,,,,,
ㅆ1발,1,,,,,,,,,
씌발,1,,,,,,,,,
띠발,1,,,,,,,,,
띄발,1,,,,,,,,,
뛰발,1,,,,,,,,,
띠ㅋ발,1,,,,,,,,,
뉘뮈,1,,,,,,,,,
패드립,1,,,,,,,,,
지랄하네,1,,,,,,,,,
간나새끼,1,,,,,,,,,
개간년,1,,,,,,,,,
개나리,1,,,,,,,,,
개년,1,,,,,,,,,
개새끼,1,,,,,,,,,
개쓰레기,1,,,,,,,,,
개소리,1,,,,,,,,,
개씨발,1,,,,,,,,,
개씹,1,,,,,,,,,
개지랄,1,,,,,,,,,
개족새,1,,,,,,,,,
개차반,1,,,,,,,,,
거렁뱅이,1,,,,,,,,,
고자,1,,,,,,,,,
광녀,1,,,,,,,,,
그지깽깽이,1,,,,,,,,,
급식충,1,,,,,,,,,
김치녀,1,,,,,,,,,
꺼벙이,1,,,,,,,,,
꺼저,1,,,,,,,,,
꼬걸,1,,,,,,,,,
꼬붕,1,,,,,,,,,
꼴통,1,,,,,,,,,
연놈,1,,,,,,,,,
틀딱충,1,,,,,,,,,
논다니,1,,,,,,,,,
느개비,1,,,,,,,,,
느금마,1,,,,,,,,,
니미럴,1,,,,,,,,,
니기미,1,,,,,,,,,
니상년,1,,,,,,,,,
나가뒤져,1,,,,,,,,,
니미뽕,1,,,,,,,,,
닥쳐,1,,,,,,,,,
닭대가리,1,,,,,,,,,
돼지새끼,1,,,,,,,,,
되놈,1,,,,,,,,,
뒈지다,1,,,,,,,,,
등신,1,,,,,,,,,
따까리,1,,,,,,,,,
딸딸이,1,,,,,,,,,
땡중,1,,,,,,,,,
떨거지,1,,,,,,,,,
또라이,1,,,,,,,,,
똘마니,1,,,,,,,,,
똘추,1,,,,,,,,,
똥개,1,,,,,,,,,
띨빵,1,,,,,,,,,
레기,1,,,,,,,,,
루저,1,,,,,,,,,
렉카충,1,,,,,,,,,
ㅁㅈㅎ,1,,,,,,,,,
맘충,1,,,,,,,,,
매국노,1,,,,,,,,,
머저리,1,,,,,,,,,
먹사,1,,,,,,,,,
멍청도,1,,,,,,,,,
멍청이,1,,,,,,,,,
메갈,1,,,,,,,,,
모자라다,1,,,,,,,,,
무뇌,1,,,,,,,,,
미치광이,1,,,,,,,,,
미친개,1,,,,,,,,,
미친년,1,,,,,,,,,
미친놈,1,,,,,,,,,
미친새끼,1,,,,,,,,,
미친,1,,,,,,,,,
바보,1,,,,,,,,,
바보멍청이해삼멍게말미잘,1,,,,,,,,,
버러지,1,,,,,,,,,
병신,1,,,,,,,,,
병신따까리,1,,,,,,,,,
벌레새끼,1,,,,,,,,,
보슬아치,1,,,,,,,,,
보전깨,1,,,,,,,,,
보지,1,,,,,,,,,
보지년,1,,,,,,,,,
보추,1,,,,,,,,,
불알,1,,,,,,,,,
불한당,1,,,,,,,,,
븅딱,1,,,,,,,,,
빌어먹을,1,,,,,,,,,
빠가,1,,,,,,,,,
빠돼쌍,1,,,,,,,,,
빨갱이,1,,,,,,,,,
빨통,1,,,,,,,,,
뻐큐,1,,,,,,,,,
삐꾸,1,,,,,,,,,
빡대가리,1,,,,,,,,,
상폐녀,1,,,,,,,,,
새끼,1,,,,,,,,,
십장생,1,,,,,,,,,
싸가지,1,,,,,,,,,
싸이코,1,,,,,,,,,
쌍욕,1,,,,,,,,,
쌍놈,1,,,,,,,,,
씹지랄,1,,,,,,,,,
썩을놈,1,,,,,,,,,
썅,1,,,,,,,,,
쓰레기,1,,,,,,,,,
씨발,1,,,,,,,,,
씨방새,1,,,,,,,,,
씨부랄,1,,,,,,,,,
씹,1,,,,,,,,,
씹새끼,1,,,,,,,,,
씹창,1,,,,,,,,,
씹년,1,,,,,,,,,
씹치남,1,,,,,,,,,
쑤비,1,,,,,,,,,
아다,1,,,,,,,,,
아가리,1,,,,,,,,,
애자,1,,,,,,,,,
애비충,1,,,,,,,,,
양놈,1,,,,,,,,,
양아치,1,,,,,,,,,
언년이,1,,,,,,,,,
얼간이,1,,,,,,,,,
엠창,1,,,,,,,,,
엠창인생,1,,,,,,,,,
옌장,1,,,,,,,,,
열폭,1,,,,,,,,,
염병,1,,,,,,,,,
엿먹다,1,,,,,,,,,
오랑캐,1,,,,,,,,,
오유충,1,,,,,,,,,
왜놈,1,,,,,,,,,
우라질,1,,,,,,,,,
운지,1,,,,,,,,,
워마드,1,,,,,,,,,
육갑떨다,1,,,,,,,,,
육변기,1,,,,,,,,,
육시럴,1,,,,,,,,,
인간쓰레기,1,,,,,,,,,
인조새,1,,,,,,,,,
일베충,1,,,,,,,,,
자지,1,,,,,,,,,
잡놈,1,,,,,,,,,
재수없다,1,,,,,,,,,
저능아,1,,,,,,,,,
정박이,1,,,,,,,,,
정신병자,1,,,,,,,,,
제기랄,1,,,,,,,,,
젠장,1,,,,,,,,,
졸라,1,,,,,,,,,
종간나새끼,1,,,,,,,,,
좆간나새끼,1,,,,,,,,,
좆,1,,,,,,,,,
좆같다,1,,,,,,,,,
좆까,1,,,,,,,,,
좆나,1,,,,,,,,,
좆도 아닌 (새끼),1,,,,,,,,,
좆망,1,,,,,,,,,
좆물,1,,,,,,,,,
좆밥,1,,,,,,,,,
좆만이,1,,,,,,,,,
좆대가리,1,,,,,,,,,
좆심,1,,,,,,,,,
좆집,1,,,,,,,,,
좆병신,1,,,,,,,,,
쥐새끼,1,,,,,,,,,
즐,1,,,,,,,,,
지기미,1,,,,,,,,,
지랄하네,1,,,,,,,,,
짭새,1,,,,,,,,,
짱깨,1,,,,,,,,,
쩌리,1,,,,,,,,,
쪼다,1,,,,,,,,,
쪽바리,1,,,,,,,,,
쫄보,1,,,,,,,,,
찌랭이,1,,,,,,,,,
찐,1,,,,,,,,,
찐따,1,,,,,,,,,
찌질이,1,,,,,,,,,
창녀,1,,,,,,,,,
천치,1,,,,,,,,,
촛불좀비,1,,,,,,,,,
최순실,1,,,,,,,,,
추남,1,,,,,,,,,
친일파,1,,,,,,,,,
코흘리개,1,,,,,,,,,
통구이,1,,,,,,,,,
트롤,1,,,,,,,,,
틀딱충,1,,,,,,,,,
튀기,1,,,,,,,,,
파쇼,1,,,,,,,,,
폐인,1,,,,,,,,,
폐녀자,1,,,,,,,,,
피싸개,1,,,,,,,,,
한남,1,,,,,,,,,
허접,1,,,,,,,,,
허접쓰레기,1,,,,,,,,,
호구,1,,,,,,,,,
호로자식,1,,,,,,,,,
호모,1,,,,,,,,,
홍어,1,,,,,,,,,
화냥년,1,,,,,,,,,
후장,1,,,,,,,,,
후빨,1,,,,,,,,,
10새끼,1,,,,,,,,,
10쎄끼,1,,,,,,,,,
10알,1,,,,,,,,,
10창,1,,,,,,,,,
10탱,1,,,,,,,,,
10탱아,1,,,,,,,,,
10팔,1,,,,,,,,,
10팔년,1,,,,,,,,,
10팔놈,1,,,,,,,,,
10팔연,1,,,,,,,,,
10할년,1,,,,,,,,,
10할연,1,,,,,,,,,
18넘,1,,,,,,,,,
18년,1,,,,,,,,,
18놈,1,,,,,,,,,1
18눔,1,,,,,,,,,
18늠,1,,,,,,,,,
18세끼,1,,,,,,,,,
18쉑끼,1,,,,,,,,,
18쎄리,1,,,,,,,,,
18쒜리,1,,,,,,,,,
18쒝끼,1,,,,,,,,,
18씨끼,1,,,,,,,,,
2c8,1,,,,,,,,,
2c팔,1,,,,,,,,,
갈보,1,,,,,,,,,
강간,1,,,,,,,,,
개넘,1,,,,,,,,,
개년,1,,,,,,,,,
개놈,1,,,,,,,,,
개뇬,1,,,,,,,,,
개눔,1,,,,,,,,,
개늠,1,,,,,,,,,
개때꺄,1,,,,,,,,,
개때끼,1,,,,,,,,,
개또라이,1,,,,,,,,,
개똥,1,,,,,,,,,
개보지,1,,,,,,,,,
개부랄,1,,,,,,,,,
개부럴,1,,,,,,,,,
개불알,1,,,,,,,,,
개새,1,,,,,,,,,
개새꺄,1,,,,,,,,,
개새끼,1,,,,,,,,,
개새리,1,,,,,,,,,
개새야,1,,,,,,,,,
개색,1,,,,,,,,,
개색기,1,,,,,,,,,
개색꺄,1,,,,,,,,,
개색끼,1,,,,,,,,,
개색히,1,,,,,,,,,
개샥,1,,,,,,,,,
개세,1,,,,,,,,,
개세끼,1,,,,,,,,,
개세이,1,,,,,,,,,
개섹,1,,,,,,,,,
개섺,1,,,,,,,,,
개셃,1,,,,,,,,,
개셋키,1,,,,,,,,,
개셐,1,,,,,,,,,
개소리,1,,,,,,,,,
개쇄끼,1,,,,,,,,,
개쇅,1,,,,,,,,,
개쇅갸,1,,,,,,,,,
개쇅기,1,,,,,,,,,
개쇅꺄,1,,,,,,,,,
개쇅끼,1,,,,,,,,,
개쇅캬,1,,,,,,,,,
개쇅키,1,,,,,,,,,
개쇗,1,,,,,,,,,
개쇗기,1,,,,,,,,,
개쇠리,1,,,,,,,,,
개쉐,1,,,,,,,,,
개쉐끼,1,,,,,,,,,
개쉐리,1,,,,,,,,,
개쉐이,1,,,,,,,,,
개쉑,1,,,,,,,,,
개쉑갸,1,,,,,,,,,
개쉑기,1,,,,,,,,,
개쉑꺄,1,,,,,,,,,
개쉑끼,1,,,,,,,,,
개쉑이,1,,,,,,,,,
개쉑캬,1,,,,,,,,,
개쉑키,1,,,,,,,,,
개쉑히,1,,,,,,,,,
개쉢,1,,,,,,,,,
개쉨,1,,,,,,,,,
개쉬끼,1,,,,,,,,,
개싀끼,1,,,,,,,,,
개싘,1,,,,,,,,,
개시퀴,1,,,,,,,,,
개시키,1,,,,,,,,,
개십팔,1,,,,,,,,,
개싯끼,1,,,,,,,,,
개싯키,1,,,,,,,,,
개싴,1,,,,,,,,,
개쌍넘,1,,,,,,,,,
개쌍년,1,,,,,,,,,
개쌍놈,1,,,,,,,,,
개쌔,1,,,,,,,,,
개쌔꺄,1,,,,,,,,,
개쌔끼,1,,,,,,,,,
개쌕,1,,,,,,,,,
개쌕끼,1,,,,,,,,,
개썅넘,1,,,,,,,,,
개썅년,1,,,,,,,,,
개썅놈,1,,,,,,,,,
개썅늠,1,,,,,,,,,
개썅연,1,,,,,,,,,
개쎅,1,,,,,,,,,
개쐐리,1,,,,,,,,,
개쒜,1,,,,,,,,,
개쒜끼,1,,,,,,,,,
개쒜리,1,,,,,,,,,
개쒝,1,,,,,,,,,
개쒝갸,1,,,,,,,,,
개쒝기,1,,,,,,,,,
개쒝꺄,1,,,,,,,,,
개쒝끼,1,,,,,,,,,
개쒝키,1,,,,,,,,,
개쒯,1,,,,,,,,,
개쒸,1,,,,,,,,,
개쒹기,1,,,,,,,,,
개씌끼,1,,,,,,,,,
개씨끼,1,,,,,,,,,
개씨발,1,,,,,,,,,
개씨팕,1,,,,,,,,,
개씹,1,,,,,,,,,
개씹창,1,,,,,,,,,
개씹팔,1,,,,,,,,,
개자슥,1,,,,,,,,,
개자싁,1,,,,,,,,,
개자식,1,,,,,,,,,
개자지,1,,,,,,,,,
개젓,1,,,,,,,,,
개젖,1,,,,,,,,,
개졋,1,,,,,,,,,
개졎,1,,,,,,,,,
개조또,1,,,,,,,,,
개조옷,1,,,,,,,,,
개족,1,,,,,,,,,
개좆,1,,,,,,,,,
개지랄,1,,,,,,,,,
개후레,1,,,,,,,,,
개후장,1,,,,,,,,,
거시기,1,,,,,,,,,
겁탈,1,,,,,,,,,
게넘,1,,,,,,,,,
게년,1,,,,,,,,,
게놈,1,,,,,,,,,
게뇬,1,,,,,,,,,
게뇽,1,,,,,,,,,
게눔,1,,,,,,,,,
게새끼,1,,,,,,,,,
게새리,1,,,,,,,,,
